Country/Region,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,11,16,22,31,48,66,100,116,160,220,233,349,419,530,626,740,890,1030,1198,1366,1613,1833,2017,2271,2464,2833,2833
Philippines,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,8,18,30,46,48,57,101,127,128,170,178,192,204,275,338,412,497,572,634,718,972,1305,1426,1947,2165,2475,2475
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,5,7,19,34,50,58,76,139,201,331,480,662,784,861,1085,1319,1438,1550,1773,1889,1926,2075,2210,2377,2377
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,5,8,6,12,12,22,39,43,82,114,122,149,168,241,252,283,315,366,505,704,803,912,1151,1276,1566,1835,1943,2116,2356,2356
Malaysia,0,0,0,3,4,4,4,7,8,8,8,8,8,10,12,12,11,15,15,17,15,15,16,16,15,15,15,9,7,7,7,7,7,4,4,4,5,5,7,11,11,14,28,28,61,70,75,93,105,123,123,171,203,386,524,622,728,823,940,1065,1157,1365,1425,1577,1793,1876,1973,2047,2110,2186,2218,2299,2299
India,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,25,27,28,31,36,40,52,57,68,76,96,98,104,125,139,175,219,303,362,462,486,602,662,794,879,902,1117,1239,1792,2280,2280
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,4,6,11,11,23,23,36,91,263,443,616,803,834,872,929,1020,1111,1218,1327,1406,1500,1547,1650,1787,1932,2091,2244,2419,2605,2872,2215,2278,2278
Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,4,5,5,5,6,6,5,5,15,17,18,26,29,51,134,234,297,439,485,714,766,864,947,1034,1171,1339,1454,1554,1620,1836,1997,2262,2262
Japan,2,2,2,2,3,3,6,6,10,14,19,19,19,21,21,21,24,24,25,22,17,19,18,19,30,46,53,60,65,75,82,99,124,136,147,165,188,202,204,218,236,244,282,311,368,379,420,425,470,506,505,564,633,699,668,705,716,745,739,740,825,851,865,952,981,1047,1237,1388,1388,1473,1649,1961,2082
China,502,591,854,1318,1957,2723,5262,5817,7818,9356,11337,15783,18654,22347,25732,28445,31360,33379,35668,37378,38581,38504,52251,56799,57391,57933,58046,57938,56480,54761,54543,51794,51325,49569,47347,45297,42856,39745,37137,34838,32304,29802,27335,25169,23643,22104,20282,18880,17515,16058,14800,13516,12066,10723,9838,8958,8016,7256,6570,6010,5572,5144,4734,4279,3950,3453,3128,2684,2384,2151,1995,1863,1724
