Country/Region,2020-03-31,2020-03-30,2020-03-29,2020-03-28,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-22,2020-03-21,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-15,2020-03-14,2020-03-13,2020-03-12,2020-03-11,2020-03-10,2020-03-09,2020-03-08,2020-03-07,2020-03-06,2020-03-05,2020-03-04,2020-03-03,2020-03-02,2020-03-01,2020-02-29,2020-02-28,2020-02-27,2020-02-26,2020-02-25,2020-02-24,2020-02-23,2020-02-22,2020-02-21,2020-02-20,2020-02-19,2020-02-18,2020-02-17,2020-02-16,2020-02-15,2020-02-14,2020-02-13,2020-02-12,2020-02-11,2020-02-10,2020-02-09,2020-02-08,2020-02-07,2020-02-06,2020-02-05,2020-02-04,2020-02-03,2020-02-02,2020-02-01,2020-01-31,2020-01-30,2020-01-29,2020-01-28,2020-01-27,2020-01-26,2020-01-25,2020-01-24,2020-01-23,2020-01-22
Luxembourg,2178,1988,1950,1831,1605,1453,1333,1099,875,798,670,484,335,203,140,77,59,51,34,19,7,5,3,3,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,2084,1546,1418,1075,803,707,636,552,462,380,307,230,217,202,187,142,140,111,64,52,49,33,20,10,6,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0
Japan,1953,1866,1866,1693,1468,1387,1307,1193,1128,1101,1007,963,924,889,878,839,839,773,701,639,639,581,511,502,461,420,360,331,293,274,256,241,228,214,189,170,159,147,122,105,94,84,74,66,59,43,29,28,28,26,26,26,25,25,22,22,22,20,20,20,15,11,7,7,4,4,2,2,2,2
Pakistan,1938,1717,1597,1495,1373,1201,1063,972,875,776,730,501,454,299,236,136,53,31,28,20,19,16,6,6,6,6,5,5,5,4,4,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,1651,1524,1388,1245,1136,1045,934,827,721,599,411,322,272,212,177,147,114,82,75,70,59,53,50,50,50,48,47,43,43,43,42,42,41,40,40,37,35,35,35,35,35,35,35,35,34,33,33,33,33,33,32,32,32,25,25,25,25,19,19,19,19,14,14,14,8,8,7,5,3,2
Saudi Arabia,1563,1453,1299,1203,1104,1012,900,767,562,511,392,344,274,171,171,118,103,103,86,45,21,20,15,11,5,5,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,1528,1414,1285,1155,1046,893,790,686,579,514,450,369,311,227,172,134,117,96,69,34,34,27,19,6,4,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,1418,1352,1240,1167,1041,958,880,792,700,626,523,450,400,336,321,277,244,225,155,59,59,40,30,23,15,15,12,6,6,6,6,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
India,1397,1251,1024,987,887,727,657,536,499,396,330,244,194,156,142,119,113,102,82,73,62,56,43,39,34,31,30,28,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,0,0,0,0,0,0,0,0
South Africa,1353,1326,1280,1187,1170,927,709,554,402,274,240,202,150,116,62,62,51,38,24,17,13,7,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,1314,1212,1156,1061,966,892,821,743,695,624,530,495,418,418,387,331,331,228,190,99,99,89,73,73,46,45,31,9,7,7,7,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,1181,989,901,786,674,558,443,345,345,313,200,137,109,86,69,55,43,36,27,11,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,1135,1086,1020,963,890,802,737,648,588,568,473,409,330,250,220,180,171,156,134,103,85,69,58,50,50,43,34,26,11,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,1109,901,859,719,581,488,392,312,245,202,112,72,34,21,21,11,11,11,5,5,5,5,5,5,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,1094,993,848,717,585,475,405,367,316,251,203,164,118,93,82,53,41,26,12,12,8,7,7,7,6,6,5,5,5,5,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,1065,950,852,671,635,580,480,416,395,363,318,234,234,145,117,86,43,38,28,15,11,11,7,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
