OBJECTID,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active
112,Malaysia,2020-04-01 21:27,4.210484,101.975766,2908,45,645,2218
113,Maldives,2020-04-01 21:27,3.2028,73.2207,19,0,13,6
114,Mali,2020-04-01 21:27,17.570692,-3.996166,31,3,0,28
115,Malta,2020-04-01 21:27,35.9375,14.3754,188,0,2,186
116,Mauritania,2020-04-01 21:27,21.0079,-10.9408,6,1,2,3
117,Mauritius,2020-04-01 21:27,-20.348404,57.552152,147,5,0,142
118,Mexico,2020-04-01 21:27,23.6345,-102.5528,1215,29,35,1151
119,Moldova,2020-04-01 21:27,47.4116,28.3699,353,4,22,327
120,Monaco,2020-04-01 21:27,43.7333,7.4167,52,1,2,49
121,Mongolia,2020-04-01 21:27,46.8625,103.8467,14,0,2,12
122,Montenegro,2020-04-01 21:27,42.708678,19.37439,120,2,0,118
123,Morocco,2020-04-01 21:27,31.7917,-7.0926,638,37,26,575
124,Mozambique,2020-04-01 21:27,-18.665695,35.529562,8,0,0,8
125,Namibia,2020-04-01 21:27,-22.9576,18.4904,11,0,2,9
126,Nepal,2020-04-01 21:27,28.1667,84.25,5,0,1,4
127,New Zealand,2020-04-01 21:27,-40.9006,174.886,708,1,83,624
128,Nicaragua,2020-04-01 21:27,12.865416,-85.207229,5,1,0,4
129,Niger,2020-04-01 21:27,17.607789,8.081666,34,3,0,31
130,Nigeria,2020-04-01 21:27,9.082,8.6753,151,2,9,140
131,North Macedonia,2020-04-01 21:27,41.6086,21.7453,354,9,12,333
132,Oman,2020-04-01 21:27,21.512583,55.923255,210,1,34,175
133,Pakistan,2020-04-01 21:27,30.3753,69.3451,2042,26,82,1934
134,Panama,2020-04-01 21:27,8.538,-80.7821,1181,30,9,1142
135,Papua New Guinea,2020-04-01 21:27,-6.314993,143.95555,1,0,0,1
136,Paraguay,2020-04-01 21:27,-23.4425,-58.4438,69,3,1,65
137,Peru,2020-04-01 21:27,-9.19,-75.0152,1065,30,394,641
138,Philippines,2020-04-01 21:27,12.879721,121.774017,2311,96,50,2165
139,Poland,2020-04-01 21:27,51.9194,19.1451,2347,35,7,2305
140,Portugal,2020-04-01 21:27,39.3999,-8.2245,8251,187,43,8021
141,Qatar,2020-04-01 21:27,25.3548,51.1839,781,2,62,717
142,Romania,2020-04-01 21:27,45.9432,24.9668,2460,86,252,2122
143,Rwanda,2020-04-01 21:27,-1.9403,29.8739,75,0,0,75
144,Saint Kitts and Nevis,2020-04-01 21:27,17.357822,-62.782998,8,0,0,8
145,Saint Lucia,2020-04-01 21:27,13.9094,-60.9789,13,0,1,12
146,Saint Vincent and the Grenadines,2020-04-01 21:27,12.9843,-61.2872,1,0,1,0
147,San Marino,2020-04-01 21:27,43.9424,12.4578,236,26,13,197
148,Saudi Arabia,2020-04-01 21:27,23.885942,45.079162,1563,10,165,1388
149,Senegal,2020-04-01 21:27,14.4974,-14.4524,190,1,45,144
150,Serbia,2020-04-01 21:27,44.0165,21.0059,900,16,0,884
151,Seychelles,2020-04-01 21:27,-4.6796,55.492,10,0,0,10
152,Sierra Leone,2020-04-01 21:27,8.460555,-11.779889,1,0,0,1
153,Singapore,2020-04-01 21:27,1.2833,103.8333,926,3,240,683
154,Slovakia,2020-04-01 21:27,48.669,19.699,400,0,3,397
155,Slovenia,2020-04-01 21:27,46.1512,14.9955,841,15,10,816
156,Somalia,2020-04-01 21:27,5.152149,46.199616,5,0,1,4
157,South Africa,2020-04-01 21:27,-30.5595,22.9375,1353,5,50,1298
158,Spain,2020-04-01 21:27,40.463667,-3.74922,102136,9053,22647,70436
159,Sri Lanka,2020-04-01 21:27,7.873054,80.771797,146,2,18,126
160,Sudan,2020-04-01 21:27,12.8628,30.2176,7,2,1,4
161,Suriname,2020-04-01 21:27,3.9193,-56.0278,10,0,0,10
162,Syria,2020-04-01 21:27,34.802075,38.996815,10,2,0,8
163,Taiwan*,2020-04-01 19:56,23.7,121.0,329,5,39,285
164,Tanzania,2020-04-01 21:27,-6.369028,34.888822,19,1,1,17
165,Thailand,2020-04-01 21:27,15.870032,100.992541,1771,12,416,1343
166,Timor-Leste,2020-04-01 21:27,-8.874217,125.727539,1,0,0,1
167,Togo,2020-04-01 21:27,8.6195,0.8248,36,2,10,24
168,Trinidad and Tobago,2020-04-01 21:27,10.6918,-61.2225,89,4,1,84
169,Tunisia,2020-04-01 21:27,33.886917,9.537499,394,10,3,381
170,Turkey,2020-04-01 21:27,38.9637,35.2433,13531,214,243,13074
171,Uganda,2020-04-01 21:27,1.373333,32.290275,44,0,0,44
172,Ukraine,2020-04-01 21:27,48.3794,31.1656,669,17,10,642
173,United Arab Emirates,2020-04-01 21:27,23.424076,53.847818,664,6,61,597
174,Uruguay,2020-04-01 21:27,-32.5228,-55.7658,338,1,41,296
175,Uzbekistan,2020-04-01 21:27,41.377491,64.585262,173,2,12,159
176,Venezuela,2020-04-01 21:27,6.4238,-66.5897,143,3,41,99
177,Vietnam,2020-04-01 21:27,14.058324,108.277199,212,0,63,149
178,West Bank and Gaza,2020-04-01 21:27,31.9522,35.2332,134,1,18,115
179,Zambia,2020-04-01 21:27,-13.133897,27.849332,36,0,0,36
180,Zimbabwe,2020-04-01 21:27,-19.015438,29.154857,8,1,0,7
